,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_mean_vx_orig,fof_halo_mean_vx_comp,fof_halo_mean_vy_orig,fof_halo_mean_vy_comp,fof_halo_mean_vz_orig,fof_halo_mean_vz_comp,fof_halo_vel_disp_orig,fof_halo_vel_disp_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp
10,10,10,0.2325867265462875,0.2325867265462875,1116,1116,147845154,147845154,612275388416.0,612275388416.0,1.5607057314165555e+17,1.5593443985824154e+17,43.6865234375,43.6865234375,4.917261123657227,4.917261123657227,18.139591217041016,18.139591217041016,-529724473344.0,-606651482112.0,-175421571072.0,-286340317184.0,340869808128.0,270801960960.0,137.63372802734375,137.63372802734375,43.65415573120117,43.65415573120117,4.946152687072754,4.946152687072754,18.131502151489254,18.131502151489254,358.6250915527344,358.47149658203125,292.6216125488281,292.5044250488281,496.1973876953125,495.9888000488281,128.2626495361328,128.18597412109375,128.2626495361328,128.18597412109375
11,11,11,0.2232489436864853,0.2232489436864853,11572,11572,161068636,161068636,6348791087104.0,6348791087104.0,1.4982357756936192e+18,1.4972312343826924e+18,29.268115997314453,29.268115997314453,147.71914672851562,147.71914672851562,158.28826904296875,158.28826904296875,3638809067520.0,549373706240.0,11810913648640.0,12175677587456.0,12088386781184.0,9804108005376.0,231.39817810058597,231.39817810058597,29.34071922302246,29.34071922302246,147.86607360839844,147.86607360839844,158.2136688232422,158.2136688232422,-245.42930603027344,-245.32456970214844,-208.10630798339844,-208.03810119628903,463.9425659179688,463.8084411621094,225.9709930419922,225.88819885253903,225.9709930419922,225.88819885253903
12,12,12,0.2198215872049331,0.2198215872049331,3233,3233,981772735,981772735,1773733281792.0,1773733281792.0,2.975191191026401e+17,2.97236853851947e+17,232.3354034423828,232.3354034423828,73.67414855957031,73.67414855957031,119.59266662597656,119.59266662597656,-261118427136.0,-252561031168.0,-90720518144.0,16200689664.0,-404909522944.0,-415369920512.0,204.5405120849609,204.5405120849609,232.3225250244141,232.3225250244141,73.67601776123047,73.67601776123047,119.58851623535156,119.58851623535156,4.210127353668213,4.210643768310547,-237.8943328857422,-237.81146240234372,433.7122497558594,433.4801635742188,173.92955017089844,173.8551788330078,173.92955017089844,173.8551788330078
13,13,13,0.2196868956089019,0.2196868956089019,1017,1017,124053426,124053426,557960658944.0,557960658944.0,2.653070018215936e+17,2.651378144698696e+17,41.94171142578125,41.94171142578125,87.49214935302734,87.49214935302734,234.2374267578125,234.2374267578125,203163795456.0,3219270144.0,-937690660864.0,-1073892294656.0,-847736078336.0,-991202836480.0,102.03751373291016,102.03751373291016,41.91115188598633,41.91115188598633,87.4677734375,87.4677734375,234.30096435546875,234.30096435546875,678.6417846679688,678.3154907226562,581.7297973632812,581.6286010742188,-127.94253540039062,-127.8647918701172,212.6457977294922,212.62538146972656,212.6457977294922,212.62538146972656
14,14,14,0.2131753116846084,0.2131753116846084,1127,1127,833528917,833528917,618310336512.0,618310336512.0,1.700563266872279e+17,1.699610814924718e+17,197.06430053710935,197.06430053710935,225.2115936279297,225.2115936279297,31.637531280517575,31.637531280517575,61628280832.0,-13175945216.0,138766778368.0,141081657344.0,316642885632.0,314924793856.0,134.7904815673828,134.7904815673828,197.0593414306641,197.0593414306641,225.1792755126953,225.1792755126953,31.648805618286133,31.648805618286133,-25.24140167236328,-25.20211410522461,-326.6016540527344,-326.4712219238281,632.01318359375,631.8311767578125,120.16854095458984,120.18119049072266,120.16854095458984,120.18119049072266
15,15,15,0.2099930495023727,0.2099930495023727,3583,3583,173139122,173139122,1965755072512.0,1965755072512.0,3.1176088705879245e+17,3.1153871699050496e+17,43.74102783203125,43.74102783203125,28.363300323486328,28.363300323486328,50.41044235229492,50.41044235229492,122456743936.0,14411197440.0,-19034230784.0,13044335616.0,-904823767040.0,-1059991126016.0,185.40042114257807,185.40042114257807,43.7413215637207,43.7413215637207,28.38667106628418,28.38667106628418,50.416603088378906,50.416603088378906,293.75347900390625,293.68572998046875,-308.2416381835937,-308.1361999511719,222.3177947998047,222.2015838623047,169.7672882080078,169.69894409179688,169.7672882080078,169.69894409179688
16,16,16,0.207476407289505,0.207476407289505,1405,1405,781421298,781421298,770830565376.0,770830565376.0,1.087085170697175e+17,1.08715938773205e+17,182.1529083251953,182.1529083251953,54.22804260253906,54.22804260253906,179.7233428955078,179.7233428955078,42016583680.0,13050081280.0,23099869184.0,31069501440.0,-152556158976.0,-138476847104.0,158.02308654785156,158.02308654785156,182.1513214111328,182.1513214111328,54.23729705810547,54.23729705810547,179.71456909179688,179.71456909179688,-176.635009765625,-176.5967559814453,-32.45289611816406,-32.421119689941406,-441.864013671875,-441.9105529785156,134.8562469482422,134.84844970703125,134.8562469482422,134.84844970703125
17,17,17,0.2006174921989441,0.2006174921989441,1250,1250,109834379,109834379,685792296960.0,685792296960.0,3.45768953504596e+17,3.457703966136074e+17,23.666879653930664,23.666879653930664,198.16232299804688,198.16232299804688,48.75741958618164,48.75741958618164,-50680287232.0,-89015926784.0,196887068672.0,217304268800.0,-80094470144.0,-74156990464.0,150.2164306640625,150.2164306640625,23.65886116027832,23.65886116027832,198.1558074951172,198.1558074951172,48.74837875366211,48.74837875366211,-128.2246551513672,-128.19419860839844,465.9482116699219,465.9005432128906,853.8600463867188,853.8746337890625,123.49331665039062,123.53583526611328,123.49331665039062,123.53583526611328
18,18,18,0.1985029578208923,0.1985029578208923,1142,1142,292222578,292222578,626539888640.0,626539888640.0,2.807087545450496e+17,2.8062711580668723e+17,58.72886657714844,58.72886657714844,182.90272521972656,182.90272521972656,162.0225067138672,162.0225067138672,-79111708672.0,-63375474688.0,-91653578752.0,-68762165248.0,-142430093312.0,-167033372672.0,141.58322143554688,141.58322143554688,58.74136734008789,58.74136734008789,182.89923095703125,182.89923095703125,162.02891540527344,162.02891540527344,-713.0466918945312,-712.8951416015625,576.5025634765625,576.4661865234375,48.61378479003906,48.60712432861328,132.7983856201172,132.79598999023438,132.7983856201172,132.79598999023438
19,19,19,0.1844528317451477,0.1844528317451477,3988,3988,174932113,174932113,2187951865856.0,2187951865856.0,9.899424765695754e+17,9.89361865710633e+17,34.033836364746094,34.033836364746094,211.6054534912109,211.6054534912109,57.22862243652344,57.22862243652344,-944963452928.0,-2302142316544.0,8422925795328.0,9530748436480.0,-4498245812224.0,-4749988986880.0,199.5482940673828,199.5482940673828,34.10285949707031,34.10285949707031,211.6962890625,211.6962890625,57.25357437133789,57.25357437133789,-466.9505310058594,-466.75,51.58992004394531,51.5380859375,713.4700927734375,713.27392578125,241.6329498291016,241.5927734375,241.6329498291016,241.5927734375
20,20,20,0.1842585802078247,0.1842585802078247,2369,2369,745355450,745355450,1299713622016.0,1299713622016.0,2.024405553337336e+18,2.0233342166950216e+18,188.61573791503903,188.61573791503903,205.97003173828125,205.97003173828125,47.44300842285156,47.44300842285156,149988769792.0,-63549161472.0,-863271976960.0,-878822227968.0,-822335242240.0,-765905666048.0,186.1817626953125,186.1817626953125,188.61978149414065,188.61978149414065,205.97325134277344,205.97325134277344,47.46120834350586,47.46120834350586,122.88441467285156,122.87831115722656,-1071.58544921875,-1071.29345703125,-1201.9759521484375,-1201.6923828125,411.1018981933594,410.9641418457031,411.1018981933594,410.9641418457031
21,21,21,0.1803330779075622,0.1803330779075622,1220,1220,472989890,472989890,669333323776.0,669333323776.0,1.433722360430592e+17,1.4330270911247155e+17,105.10780334472656,105.10780334472656,16.621206283569336,16.621206283569336,55.50833511352539,55.50833511352539,-37845164032.0,6547643392.0,77518864384.0,114149089280.0,-308325220352.0,-312907595776.0,129.40313720703125,129.40313720703125,105.10831451416016,105.10831451416016,16.612443923950195,16.612443923950195,55.45429611206055,55.45429611206055,-360.8488464355469,-360.7655334472656,-290.6866760253906,-290.5160217285156,409.130859375,409.0872802734375,124.23690795898438,124.2197494506836,124.23690795898438,124.2197494506836
22,22,22,0.1762302815914154,0.1762302815914154,2251,2251,821475803,821475803,1234974801920.0,1234974801920.0,4.6745152739344384e+17,4.672019382539387e+17,199.64089965820312,199.64089965820312,96.49891662597656,96.49891662597656,117.99305725097656,117.99305725097656,1482100834304.0,1224471871488.0,64770170880.0,89327329280.0,-8289720832.0,-45403697152.0,164.7752227783203,164.7752227783203,199.6368408203125,199.6368408203125,96.50959014892578,96.50959014892578,118.02713012695312,118.02713012695312,245.6598358154297,245.5001373291016,-747.72900390625,-747.564697265625,-262.4584350585937,-262.3775939941406,151.31658935546875,151.27511596679688,151.31658935546875,151.27511596679688
23,23,23,0.1752151697874069,0.1752151697874069,1181,1181,126761087,126761087,647936606208.0,647936606208.0,1.7007658175299584e+17,1.6996898423229645e+17,34.527122497558594,34.527122497558594,228.3294219970703,228.3294219970703,45.311519622802734,45.311519622802734,-440490688512.0,-428652789760.0,-272633282560.0,-153332613120.0,447235883008.0,449819443200.0,133.05694580078125,133.05694580078125,34.4786376953125,34.4786376953125,228.3353271484375,228.3353271484375,45.29701232910156,45.29701232910156,191.744384765625,191.6442108154297,76.1910171508789,76.17938995361328,661.6278686523438,661.4382934570312,122.00637817382812,121.95018768310548,122.00637817382812,121.95018768310548
24,24,24,0.1731528341770172,0.1731528341770172,1505,1505,1008401972,1008401972,825693962240.0,825693962240.0,8.076966890989158e+16,8.069025496458854e+16,243.26202392578125,243.26202392578125,186.06146240234372,186.06146240234372,148.22268676757812,148.22268676757812,-217268813824.0,-220833398784.0,286252400640.0,320850067456.0,486856622080.0,388018700288.0,131.40638732910156,131.40638732910156,243.2145233154297,243.2145233154297,186.02029418945312,186.02029418945312,148.21356201171875,148.21356201171875,143.89144897460938,143.82395935058594,264.337646484375,264.1736145019531,227.00750732421875,226.95074462890625,133.577880859375,133.5023956298828,133.577880859375,133.5023956298828
25,25,25,0.1717335879802703,0.1717335879802703,1550,1550,509081601,509081601,850382487552.0,850382487552.0,5.953259666543739e+17,5.948432123303035e+17,126.32659149169922,126.32659149169922,117.6111297607422,117.6111297607422,11.99942398071289,11.99942398071289,458214866944.0,459761188864.0,-71503806464.0,8884255744.0,-145168809984.0,-167528022016.0,167.78115844726562,167.78115844726562,126.31808471679688,126.31808471679688,117.6101531982422,117.6101531982422,11.99582290649414,11.99582290649414,445.3918151855469,445.2677612304688,-283.0201416015625,-282.8292541503906,1001.9580688476562,1001.5182495117188,198.11001586914065,198.08001708984372,198.11001586914065,198.08001708984372
26,26,26,0.1711200922727584,0.1711200922727584,1038,1038,714140380,714140380,569481953280.0,569481953280.0,1.5930186601699738e+17,1.5918184745087795e+17,163.20721435546875,163.20721435546875,12.242399215698242,12.242399215698242,169.86380004882812,169.86380004882812,1254235570176.0,1411089563648.0,808134049792.0,1201750671360.0,1991520944128.0,2033799921664.0,105.12262725830078,105.12262725830078,163.09732055664062,163.09732055664062,12.284451484680176,12.284451484680176,169.88719177246094,169.88719177246094,-242.64035034179688,-242.62657165527344,-85.79692077636719,-85.7411117553711,-674.266357421875,-673.9639892578125,113.41934204101562,113.4228744506836,113.41934204101562,113.4228744506836
27,27,27,0.1695808619260788,0.1695808619260788,1030,1030,104636610,104636610,565092876288.0,565092876288.0,2.1348160714571776e+17,2.13374628100309e+17,22.97047233581543,22.97047233581543,204.5772399902344,204.5772399902344,58.575714111328125,58.575714111328125,220605595648.0,180840579072.0,345941737472.0,229026955264.0,1507276488704.0,1741637025792.0,111.56028747558594,111.56028747558594,22.966632843017575,22.966632843017575,204.5054626464844,204.5054626464844,58.53805160522461,58.53805160522461,-753.3724975585938,-753.1332397460938,-182.4646148681641,-182.4951019287109,-183.5518341064453,-183.5563507080078,200.83839416503903,200.81271362304688,200.83839416503903,200.81271362304688
28,28,28,0.169025182723999,0.169025182723999,2292,2292,858117092,858117092,1257468854272.0,1257468854272.0,1.1505764696431002e+17,1.1496978911330304e+17,204.22332763671875,204.22332763671875,104.3106460571289,104.3106460571289,2.050384521484375,2.050384521484375,-1466731855872.0,-1384466481152.0,-737367556096.0,-621574619136.0,-259158278144.0,-16798167040.0,139.66741943359375,139.66741943359375,204.0958709716797,204.0958709716797,104.36322021484376,104.36322021484376,2.0657455921173096,2.0657455921173096,19.276121139526367,19.27623176574707,315.39794921875,315.3007507324219,119.76029205322266,119.69473266601562,151.44729614257812,151.3782196044922,151.44729614257812,151.3782196044922
29,29,29,0.1685310751199722,0.1685310751199722,1382,1382,260195356,260195356,758212001792.0,758212001792.0,3.149507764494008e+17,3.147617291689001e+17,62.210968017578125,62.210968017578125,30.162925720214844,30.162925720214844,14.780391693115234,14.780391693115234,561192239104.0,587712626688.0,-350718525440.0,-216719425536.0,542612389888.0,496328802304.0,146.49696350097656,146.49696350097656,62.18739700317383,62.18739700317383,30.169885635375977,30.169885635375977,14.782758712768556,14.782758712768556,-130.7837677001953,-130.7768096923828,-388.1853332519531,-388.05804443359375,770.1799926757812,769.927734375,152.53733825683594,152.52688598632812,152.53733825683594,152.52688598632812
30,30,30,0.1681740880012512,0.1681740880012512,1504,1504,222230328,222230328,825145294848.0,825145294848.0,5.274875079698678e+17,5.2714253619665306e+17,52.85542678833008,52.85542678833008,232.7761993408203,232.7761993408203,187.51898193359372,187.51898193359372,-661942566912.0,-794758348800.0,-239794094080.0,-232528805888.0,-360714141696.0,-358279118848.0,166.95355224609375,166.95355224609375,52.855445861816406,52.855445861816406,232.7512969970703,232.7512969970703,187.5269012451172,187.5269012451172,-40.61411666870117,-40.61348724365234,-336.14434814453125,-336.030029296875,-1051.429443359375,-1051.0865478515625,139.5063018798828,139.46043395996094,139.5063018798828,139.46043395996094
31,31,31,0.1552273333072662,0.1552273333072662,1771,1771,392305117,392305117,971630575616.0,971630575616.0,1.823663386127237e+17,1.8223747241397453e+17,90.927734375,90.927734375,38.0525016784668,38.0525016784668,117.00103759765624,117.00103759765624,2419287130112.0,2462345854976.0,1998914060288.0,1737897279488.0,-1045130903552.0,-605082025984.0,118.05471801757812,118.05471801757812,91.08866119384766,91.08866119384766,38.08198928833008,38.08198928833008,116.99959564208984,116.99959564208984,-76.07522583007812,-76.03472900390625,481.2306213378906,481.0977783203125,-303.7547302246094,-303.5908508300781,123.4838409423828,123.44100189208984,123.4838409423828,123.44100189208984
32,32,32,0.1545621007680893,0.1545621007680893,1316,1316,1001249828,1001249828,722002182144.0,722002182144.0,6.04986988780585e+16,6.047347024016179e+16,231.7714080810547,231.7714080810547,221.6427001953125,221.6427001953125,13.753541946411133,13.753541946411133,-123419074560.0,-116895342592.0,105919897600.0,81793695744.0,-33281929216.0,-27473661952.0,146.96554565429688,146.96554565429688,231.77120971679688,231.77120971679688,221.64366149902344,221.64366149902344,13.768438339233398,13.768438339233398,-263.9864501953125,-263.9200744628906,-77.16354370117188,-77.1245346069336,205.06475830078125,205.02442932128903,128.95904541015625,128.94317626953125,128.95904541015625,128.94317626953125
33,33,33,0.1536080241203308,0.1536080241203308,1294,1294,962994974,962994974,709932220416.0,709932220416.0,7.48777039242199e+16,7.483641210863616e+16,233.04415893554688,233.04415893554688,103.11112213134766,103.11112213134766,192.29022216796875,192.29022216796875,-637949247488.0,-559880339456.0,88072388608.0,122585841664.0,-23798480896.0,26334373888.0,134.84567260742188,134.84567260742188,233.0736083984375,233.0736083984375,103.07129669189452,103.07129669189452,192.27198791503903,192.27198791503903,268.1378479003906,268.0421142578125,89.7875747680664,89.75704193115234,-286.33123779296875,-286.2662658691406,127.7992706298828,127.77017974853516,127.7992706298828,127.77017974853516
34,34,34,0.1532264649868011,0.1532264649868011,1008,1008,1038225693,1038225693,553022914560.0,553022914560.0,8.125625434479002e+16,8.122323463621837e+16,5.9575958251953125,5.9575958251953125,25.823627471923828,25.823627471923828,72.80268859863281,72.80268859863281,-174861205504.0,-138488053760.0,239648391168.0,225324400640.0,87901511680.0,61077929984.0,130.32347106933594,130.32347106933594,5.934955596923828,5.934955596923828,25.819297790527344,25.819297790527344,72.77233123779297,72.77233123779297,358.31378173828125,358.3208923339844,-309.625244140625,-309.5242614746094,169.04510498046875,168.9490509033203,116.94634246826172,116.90426635742188,116.94634246826172,116.90426635742188
35,35,35,0.1520022600889206,0.1520022600889206,1083,1083,462343963,462343963,594170478592.0,594170478592.0,3.1474856938910515e+17,3.145774922517709e+17,110.82193756103516,110.82193756103516,246.0640106201172,246.0640106201172,199.6281280517578,199.6281280517578,-57161064448.0,-62356303872.0,109670440960.0,101719670784.0,128771579904.0,154194116608.0,144.05548095703125,144.05548095703125,110.81978607177734,110.81978607177734,246.05645751953125,246.05645751953125,199.6234893798828,199.6234893798828,-894.818603515625,-894.6001586914062,-383.9563903808594,-383.740966796875,98.22549438476562,98.18402862548828,184.10531616210935,184.0949859619141,184.10531616210935,184.0949859619141
36,36,36,0.1518308222293853,0.1518308222293853,1128,1128,50461237,50461237,618859003904.0,618859003904.0,6.733525602113946e+16,6.728566632873984e+16,6.897213935852051,6.897213935852051,24.546329498291016,24.546329498291016,137.6574249267578,137.6574249267578,734217568256.0,470008070144.0,-744876015616.0,-525687947264.0,-2065809801216.0,-1990006669312.0,86.29033660888672,86.29033660888672,6.816232204437256,6.816232204437256,24.512237548828125,24.512237548828125,137.47515869140625,137.47515869140625,-287.541259765625,-287.4405212402344,-304.1544494628906,-304.0257568359375,-90.2143096923828,-90.18938446044922,106.89942169189452,106.86888885498048,106.89942169189452,106.86888885498048
37,37,37,0.1512372642755508,0.1512372642755508,3677,3677,279782118,279782118,2017326661632.0,2017326661632.0,8.341744581041193e+17,8.337518333221929e+17,63.74931335449219,63.74931335449219,217.93931579589844,217.93931579589844,174.1815948486328,174.1815948486328,449660452864.0,1716526776320.0,2179192586240.0,840542322688.0,12390349406208.0,11913122545664.0,152.7958984375,152.7958984375,63.86418914794922,63.86418914794922,218.02078247070312,218.02078247070312,174.25352478027344,174.25352478027344,14.371489524841309,14.37559413909912,485.348388671875,485.2560729980469,-708.1162109375,-707.8720092773438,173.02374267578125,173.03936767578125,173.02374267578125,173.03936767578125
38,38,38,0.1511519700288772,0.1511519700288772,1559,1559,962656213,962656213,855320166400.0,855320166400.0,1.1486712221505946e+17,1.1481004209969562e+17,236.04429626464844,236.04429626464844,14.057886123657228,14.057886123657228,5.453521728515625,5.453521728515625,183318315008.0,164487430144.0,-476825747456.0,-483046064128.0,149892759552.0,71903330304.0,133.7863006591797,133.7863006591797,236.061279296875,236.061279296875,14.093463897705078,14.093463897705078,5.446996212005615,5.446996212005615,283.97869873046875,283.85369873046875,-97.08021545410156,-97.06006622314452,367.9183044433594,367.8558654785156,119.94732666015624,119.9297866821289,119.94732666015624,119.9297866821289
39,39,39,0.1503802686929702,0.1503802686929702,2709,2709,783081179,783081179,1486249132032.0,1486249132032.0,7.307392761106268e+17,7.304320313301402e+17,188.27310180664065,188.27310180664065,202.9893341064453,202.9893341064453,168.8999786376953,168.8999786376953,-718177566720.0,-825200738304.0,-579569254400.0,-706083553280.0,-613028724736.0,-595743801344.0,196.87060546875,196.87060546875,188.28121948242188,188.28121948242188,202.98146057128903,202.98146057128903,168.89334106445312,168.89334106445312,181.2836761474609,181.23817443847656,-241.0015411376953,-240.9375915527344,-900.3001098632812,-900.0606689453125,165.17434692382812,165.2399139404297,165.17434692382812,165.2399139404297
