,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_com_vx_orig,fof_halo_com_vx_comp,fof_halo_com_vy_orig,fof_halo_com_vy_comp,fof_halo_com_vz_orig,fof_halo_com_vz_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
10,10,10,2.793267250061035,2.793267250061035,43,43,382639799,382639799,23591256064.0,23591256064.0,3351634369314816.0,3352967419789312.0,86.8964614868164,86.8964614868164,236.1255798339844,236.1255798339844,163.2532958984375,163.2532958984375,-39793604.0,-134064432.0,-101851536.0,-106074576.0,34891064.0,-271520960.0,37.77693176269531,37.77693176269531,86.87605285644531,86.87605285644531,236.1112060546875,236.1112060546875,163.25473022460938,163.25473022460938,-228.46176147460935,-228.34751892089844,110.21617889404295,110.19237518310548,-465.2609558105469,-465.48480224609375,33.32636642456055,33.136322021484375,-0.34669189345451085,-0.41783334753157747,-0.8873562160162793,-0.33059846311863483,0.30397973108448584,-0.8462387073835329,114780889.75051643,320856228.4269763,0.004865399681947025,0.013600642015691545
11,11,11,2.6571202278137207,2.6571202278137207,34,34,731711655,731711655,18653550592.0,18653550592.0,4519640256479232.0,4512253986471936.0,177.63705444335938,177.63705444335938,205.4740753173828,205.4740753173828,47.03102493286133,47.03102493286133,105478352.0,171188224.0,-63325940.0,-271381408.0,-26638584.0,226874160.0,49.455604553222656,49.455604553222656,177.64146423339844,177.64146423339844,205.47775268554688,205.47775268554688,47.04134368896485,47.04134368896485,645.4751586914062,645.1585693359375,84.58590698242188,84.42410278320312,239.10145568847656,238.52804565429688,34.76187515258789,34.365936279296875,0.8379358110957013,0.4356270656529851,-0.5030707428695673,-0.6905912315546631,-0.21162089724800565,0.5773324956819801,125878797.1623679,392969669.4657773,0.006748248626529787,0.0210667490635435
12,12,12,2.6528983116149902,2.6528983116149902,24,24,184443890,184443890,13167212544.0,13167212544.0,1607267761782784.0,1601789933649920.0,47.77799987792969,47.77799987792969,236.2402801513672,236.2402801513672,2.997102737426758,2.997102737426758,-39594960.0,-65591868.0,53517824.0,-247350304.0,-98532368.0,-189756592.0,33.772552490234375,33.772552490234375,47.7816162109375,47.7816162109375,236.2245178222656,236.2245178222656,2.994767189025879,2.994767189025879,298.9583435058594,298.1921081542969,252.60226440429688,252.50845336914065,298.04595947265625,297.507568359375,26.56078147888184,26.52022171020508,-0.3329713146691963,-0.20588941958365314,0.45005475988647714,-0.7764195787868118,-0.828601723816088,-0.5956359497041932,118914027.29192212,318578138.3649486,0.009031070691276153,0.024194804883750236
13,13,13,2.617377996444702,2.617377996444702,29,29,1023867733,1023867733,15910381568.0,15910381568.0,3025559646896128.0,3016677386092544.0,248.22935485839844,248.22935485839844,115.53963470458984,115.53963470458984,202.16683959960935,202.16683959960935,-110880896.0,-87299856.0,78863320.0,-363196896.0,102921104.0,44377356.0,43.53186798095703,43.53186798095703,248.2309112548828,248.2309112548828,115.5502471923828,115.5502471923828,202.1866912841797,202.1866912841797,270.3658752441406,270.24053955078125,159.32212829589844,159.15740966796875,-528.5091552734375,-527.5546264648438,28.994428634643555,29.06168937683105,-0.649919950934444,-0.2320765809857436,0.46225136081987794,-0.9655169860568235,0.6032642346414554,0.1179720737874662,170607004.5096743,376168313.188666,0.010722998928750413,0.023642947315936174
14,14,14,2.59260368347168,2.59260368347168,20,20,48748351,48748351,10972677120.0,10972677120.0,729535293161472.0,731792365584384.0,10.929340362548828,10.929340362548828,124.84851837158205,124.84851837158205,201.5904541015625,201.5904541015625,-10162231.0,-119526232.0,-72572584.0,-349218016.0,-88327952.0,-94872184.0,35.14920425415039,35.14920425415039,10.931469917297363,10.931469917297363,124.84822082519533,124.84822082519533,201.582763671875,201.582763671875,-25.99591827392578,-25.994112014770508,10.814945220947266,10.788485527038574,-360.9548950195313,-361.511474609375,25.1123104095459,25.17831802368164,-0.08854523870865806,-0.31363130117336335,-0.6323372076450672,-0.9163319124061439,-0.7696163956996147,-0.24894022019433146,114768802.34562318,381104282.48974574,0.010459507838468428,0.034732114899754356
15,15,15,2.5696938037872314,2.5696938037872314,47,47,302361,302361,25785790464.0,25785790464.0,2959249378377728.0,2957465087901696.0,2.074922561645508,2.074922561645508,67.14020538330078,67.14020538330078,76.01611328125,76.01611328125,-162793264.0,256955856.0,112927336.0,134944976.0,80437080.0,-273482048.0,46.937294006347656,46.937294006347656,2.0803890228271484,2.0803890228271484,67.1461181640625,67.1461181640625,76.00940704345703,76.00940704345703,115.61753845214844,115.5429458618164,-382.75921630859375,-382.6805114746094,256.0325012207031,255.8856506347656,36.97257614135742,37.03684997558594,-0.7613119421463922,0.6443480330647088,0.5281110985745588,0.33839092523956465,0.3761685716639032,-0.6857894676948257,213832536.95066378,398784263.80514014,0.00829265006435227,0.015465272021111393
16,16,16,2.5454535484313965,2.5454535484313965,27,27,573383638,573383638,14813114368.0,14813114368.0,1400827205910528.0,1402145358217216.0,130.51634216308594,130.51634216308594,215.679931640625,215.679931640625,239.79730224609372,239.79730224609372,-66106872.0,-310594400.0,7767449.0,135581360.0,85952416.0,107492072.0,36.091678619384766,36.091678619384766,130.52557373046875,130.52557373046875,215.6875457763672,215.6875457763672,239.8077392578125,239.8077392578125,-260.26678466796875,-260.29058837890625,239.25868225097656,239.4607696533203,-248.1477813720703,-248.29547119140625,29.283376693725582,29.2578067779541,-0.6080925201743393,-0.8735951960049707,0.0714498734372979,0.38134372275810674,0.7906442958080547,0.302338218937046,108711865.06462412,355535837.903386,0.007338893251203724,0.024001423945759277
17,17,17,2.467637062072754,2.467637062072754,20,20,630673048,630673048,10972677120.0,10972677120.0,2861190174736384.0,2850512886038528.0,142.419677734375,142.419677734375,114.4832000732422,114.4832000732422,157.2455291748047,157.2455291748047,-12256463.0,-290416416.0,-25084752.0,-13299986.0,117907456.0,226939696.0,32.338417053222656,32.338417053222656,142.4154510498047,142.4154510498047,114.51036071777344,114.51036071777344,157.24449157714844,157.24449157714844,-466.1300659179688,-465.4080810546875,-319.5341796875,-319.25799560546875,-447.3377075195313,-446.0942993164063,25.957876205444336,26.04560661315918,-0.10115281284738795,-0.7874435701711701,-0.20702491610990387,-0.03606197130077722,0.9730923864478381,0.6153309337437729,121167792.12548113,368809178.2079964,0.011042682729142505,0.03361159488925128
18,18,18,2.3035664558410645,2.3035664558410645,22,22,304810905,304810905,12069945344.0,12069945344.0,4979484688121856.0,4994863355396096.0,68.7352066040039,68.7352066040039,170.1085662841797,170.1085662841797,214.50698852539065,214.50698852539065,67590600.0,-306948256.0,-154473168.0,-393006880.0,94259864.0,123127120.0,35.59157180786133,35.59157180786133,68.74352264404297,68.74352264404297,170.09483337402344,170.09483337402344,214.51014709472656,214.51014709472656,-237.40342712402344,-238.08468627929688,-325.9071655273437,-326.67218017578125,-812.6864013671875,-813.7091064453125,26.26616096496582,26.65530586242676,0.34989877410760867,-0.5975874870967083,-0.7996669968267582,-0.7651321981478129,0.4879585454360505,0.23971214951048575,193171868.55651295,513645721.55160636,0.01600436978387306,0.0425557620115439
19,19,19,2.2925448417663574,2.2925448417663574,50,50,951451933,951451933,27431692288.0,27431692288.0,4291734259367936.0,4292912154148864.0,225.7537078857422,225.7537078857422,100.93541717529295,100.93541717529295,80.54467010498047,80.54467010498047,65622400.0,-434047360.0,59847880.0,-484326944.0,-314538848.0,-189483616.0,42.52413177490234,42.52413177490234,225.74215698242188,225.74215698242188,100.90377807617188,100.90377807617188,80.56012725830078,80.56012725830078,-23.45610618591309,-23.475814819335938,266.2609558105469,266.3771667480469,488.3608703613281,488.3786010742188,31.42150115966797,31.45185089111328,0.20077989486814016,-0.640752805646379,0.1831120326973879,-0.71497692836592,-0.9623707275775637,-0.27972099306403136,326837505.5335931,677402199.6862603,0.0119145950640664,0.024694145464098476
20,20,20,2.2493417263031006,2.2493417263031006,21,21,583210646,583210646,11521310720.0,11521310720.0,884692597342208.0,882583969726464.0,137.07362365722656,137.07362365722656,50.16151809692383,50.16151809692383,159.6170654296875,159.6170654296875,-55291020.0,-59677528.0,-65965072.0,-284564768.0,-45304128.0,-37368184.0,36.95711517333984,36.95711517333984,137.0794677734375,137.0794677734375,50.16452026367188,50.16452026367188,159.61972045898438,159.61972045898438,-53.02260208129883,-52.9747428894043,35.444923400878906,35.49736404418945,-383.8210144042969,-383.2897338867188,27.010332107543945,27.273591995239254,-0.568443350699293,-0.2035757521688138,-0.6781825793193924,-0.9707253069588271,-0.4657687689760409,-0.12747270907371755,97267423.27442405,293146543.064288,0.008442392158174869,0.025443853584767136
21,21,21,2.1995067596435547,2.1995067596435547,24,24,233494564,233494564,13167212544.0,13167212544.0,605609648979968.0,605885734846464.0,49.22891616821289,49.22891616821289,175.52281188964844,175.52281188964844,13.275129318237305,13.275129318237305,51889644.0,-37778388.0,22465480.0,113126864.0,-18438086.0,-47635888.0,34.683956146240234,34.683956146240234,49.2309684753418,49.2309684753418,175.5402069091797,175.5402069091797,13.27008056640625,13.27008056640625,-245.63986206054688,-245.81060791015625,99.3328628540039,99.37374877929688,138.28114318847656,138.21456909179688,29.77632141113281,29.59840583801269,0.8724712621701709,-0.29415719970451676,0.3777340559680604,0.8808496944230048,-0.31001754732451353,-0.37091152273405614,59474330.27298863,128429248.16373248,0.0045168504779768085,0.00975371573403019
22,22,22,2.086999893188477,2.086999893188477,24,24,133594697,133594697,13167212544.0,13167212544.0,7217903531196416.0,7231462206078976.0,26.26329040527344,26.26329040527344,109.3971710205078,109.3971710205078,158.36782836914062,158.36782836914062,137934016.0,-225339616.0,-143219248.0,-131424424.0,-98882808.0,188675120.0,38.89314270019531,38.89314270019531,26.273494720458984,26.273494720458984,109.3997039794922,109.3997039794922,158.3665771484375,158.3665771484375,-383.5495910644531,-383.5309753417969,320.1671142578125,319.9909973144531,918.797119140625,919.9832153320312,29.09476089477539,29.126375198364254,0.621126841034088,-0.6999318917973276,-0.6449266226361279,-0.40822003406047386,-0.4452764296054444,0.5860475668720754,222070609.23395205,321945061.57071835,0.0168654229960877,0.024450509968977557
23,23,23,2.0150680541992188,2.0150680541992188,22,22,433956357,433956357,12069945344.0,12069945344.0,6629594480246784.0,6627684293541888.0,103.17677307128906,103.17677307128906,227.83706665039065,227.83706665039065,140.89669799804688,140.89669799804688,1254441.75,109277704.0,-67831912.0,-141447248.0,-56736596.0,64391884.0,47.6677360534668,47.6677360534668,103.17181396484376,103.17181396484376,227.8357696533203,227.8357696533203,140.89878845214844,140.89878845214844,755.3018798828125,755.3506469726562,-469.4336853027344,-469.4996948242188,551.8087158203125,551.2758178710938,32.596717834472656,33.282936096191406,0.014183963713655502,0.5751836107054074,-0.7669749340181584,-0.7445081279250084,-0.6415202769680871,0.33892692638604255,88440845.96693489,189987513.4932677,0.007327360932160232,0.01574054464030452
24,24,24,2.007096529006958,2.007096529006958,25,25,89978024,89978024,13715846144.0,13715846144.0,9278771110608896.0,9276161917976576.0,22.697227478027344,22.697227478027344,214.2603912353516,214.2603912353516,59.480743408203125,59.480743408203125,41227776.0,-161265808.0,205649360.0,840599232.0,-260442416.0,-181061408.0,38.0030632019043,38.0030632019043,22.711166381835938,22.711166381835938,214.2625274658203,214.2625274658203,59.47062683105469,59.47062683105469,91.75447845458984,91.62567138671876,411.2577209472656,410.8096923828125,1083.0887451171875,1083.02490234375,28.090251922607425,28.96442413330078,0.12328975155609244,-0.18433123359795156,0.6149848709294776,0.960827935677789,-0.7788409630271708,-0.20695814635190377,334397429.46714294,874869683.516251,0.0243803718674276,0.06378532351057051
25,25,25,1.9275035858154297,1.9275035858154297,64,64,952923945,952923945,35112566784.0,35112566784.0,5666951649034240.0,5650279659732992.0,225.9194183349609,225.9194183349609,194.11529541015625,194.11529541015625,192.3374481201172,192.3374481201172,-21034944.0,410084896.0,-22083210.0,-468495360.0,323613696.0,237634784.0,52.62214279174805,52.62214279174805,225.9217071533203,225.9217071533203,194.1166076660156,194.1166076660156,192.34605407714844,192.34605407714844,-63.6557502746582,-63.5622444152832,-260.7882080078125,-260.460205078125,-494.99505615234375,-494.3213195800781,43.60812377929688,43.223392486572266,-0.06471342076685382,0.6153465746162269,-0.06793838199012053,-0.7029934967407239,0.9955885442416543,0.3565792151098073,325047629.23572856,666429152.1501645,0.009257301843961046,0.018979790234356808
26,26,26,1.8526476621627808,1.8526476621627808,22,22,350309902,350309902,12069945344.0,12069945344.0,423097228328960.0,421055273369600.0,82.49445343017578,82.49445343017578,25.12616729736328,25.12616729736328,130.34576416015625,130.34576416015625,-66254864.0,71234712.0,10791294.0,29435932.0,37744848.0,70992600.0,32.77340316772461,32.77340316772461,82.47855377197266,82.47855377197266,25.124971389770508,25.124971389770508,130.32901000976562,130.32901000976562,-19.534683227539062,-19.54275131225586,222.8660125732422,222.25938415527344,-138.4463348388672,-138.19142150878906,17.2174072265625,17.235517501831055,-0.8603198323957911,0.6797896263086326,0.1401250215442855,0.28090576423368313,0.49011709246229246,0.6774791624717768,77011898.95331784,104789348.41476765,0.0063804679108676035,0.008681841170627893
27,27,27,1.7979844808578491,1.7979844808578491,23,23,800258807,800258807,12618578944.0,12618578944.0,1900425854844928.0,1902966730653696.0,187.57095336914065,187.57095336914065,52.174312591552734,52.174312591552734,178.7269744873047,178.7269744873047,28215442.0,50091592.0,-6365706.0,-202819040.0,-123025864.0,-10950140.0,40.5653190612793,40.5653190612793,187.57167053222656,187.57167053222656,52.17521286010742,52.17521286010742,178.72511291503906,178.72511291503906,-119.3485336303711,-119.28970336914062,183.23133850097656,183.1871490478516,-500.830078125,-501.2610473632813,29.224437713623047,29.23054313659668,0.223258114952666,0.23944356696022795,-0.05036942259854996,-0.9694983218950028,-0.9734571050513068,-0.05234292773753069,126380364.74500418,209199990.7782877,0.010015419747807395,0.016578728215490546
