,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_com_vx_orig,fof_halo_com_vx_comp,fof_halo_com_vy_orig,fof_halo_com_vy_comp,fof_halo_com_vz_orig,fof_halo_com_vz_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
0,0,0,0.0165184140205383,0.0165184140205383,11574,11574,457489976,457489976,6349888421888.0,6349888421888.0,9.41767099720663e+17,9.411427832745164e+17,110.50259399414062,110.50259399414062,75.27094268798828,75.27094268798828,138.82342529296875,138.82342529296875,-1674768023552.0,-1686158442496.0,-1626438107136.0,-1660131606528.0,347473477632.0,331502649344.0,306.3398742675781,306.3398742675781,110.49127960205078,110.49127960205078,75.26807403564453,75.26807403564453,138.828125,138.828125,76.77598571777344,76.74919128417969,95.37936401367188,95.35783386230467,-239.87612915039065,-239.7799835205078,273.30841064453125,273.2216186523437,-0.7095655118466062,-0.705693358449158,-0.689089098757174,-0.6948005711397549,0.14721752060094492,0.13874094631585365,2360272583138.2446,2389364193821.416,0.3717030011113911,0.37628443762654196
1,1,1,0.0102694993838667,0.0102694993838667,25800,25800,81399374,81399374,14154753638400.0,14154753638400.0,6.351388291475964e+18,6.347358581360165e+18,17.65390396118164,17.65390396118164,166.5459747314453,166.5459747314453,160.9798583984375,160.9798583984375,-8890325401600.0,-8807118798848.0,5375836291072.0,5365473738752.0,5257188343808.0,5342437572608.0,406.7253112792969,406.7253112792969,17.66307258605957,17.66307258605957,166.54922485351562,166.54922485351562,160.9829864501953,160.9829864501953,105.46426391601562,105.42318725585938,436.1959533691406,436.0452880859375,560.9783935546875,560.7986450195312,356.52716064453125,356.4207458496094,-0.7635315730009704,-0.7582902340707236,0.4616952197024413,0.4619656473568585,0.4515053279138332,0.45998224049970216,11643690602940.791,11614443128943.93,0.8225993118914466,0.8205330467522558
2,2,2,0.0078834407031536,0.0078834407031536,11194,11194,425471924,425471924,6141407395840.0,6141407395840.0,1.0673396426693672e+18,1.0665713589194588e+18,105.31067657470705,105.31067657470705,194.86148071289065,194.86148071289065,232.2873077392578,232.2873077392578,-631170007040.0,-585948266496.0,-6428232777728.0,-6397279338496.0,-4326425624576.0,-4353867382784.0,245.8643951416016,245.8643951416016,105.22518157958984,105.22518157958984,194.75537109375,194.75537109375,232.10256958007807,232.10256958007807,169.86337280273438,169.80555725097656,57.052772521972656,57.02558517456055,-392.0075378417969,-391.8580627441406,232.2423095703125,232.16314697265625,-0.0811875573853512,-0.0755043590177503,-0.8268652054233512,-0.8243432117294872,-0.5565092205759036,-0.5610324064123503,7774220919644.061,7760456139469.373,1.2658695993543887,1.2636282922259916
3,3,3,0.0076964809559285,0.0076964809559285,14874,14874,44729597,44729597,8160380190720.0,8160380190720.0,2.5423333918192435e+18,2.5407385502031544e+18,13.344924926757812,13.344924926757812,177.31431579589844,177.31431579589844,67.14070129394531,67.14070129394531,151557242880.0,138729308160.0,-3830761914368.0,-3846944587776.0,122633052160.0,143730130944.0,314.2847900390625,314.2847900390625,13.367283821105955,13.367283821105955,177.3223419189453,177.3223419189453,67.17375946044922,67.17375946044922,299.6033630371094,299.4854431152344,510.0811462402344,509.9538879394531,95.75365447998048,95.70185089111328,296.6356811523437,296.53424072265625,0.03951207500166019,0.036013684790533365,-0.9987074797464921,-0.9986545138034456,0.03197132820940129,0.037311882394377695,3835719659714.96,3852127572251.8315,0.4700417836018165,0.4720524635154228
4,4,4,0.0061434977687895,0.0061434977687895,20340,20340,241146164,241146164,11159212130304.0,11159212130304.0,2.3513627906036204e+18,2.3500477746968e+18,61.935359954833984,61.935359954833984,0.5070648193359375,0.5070648193359375,73.69942474365234,73.69942474365234,-7521338654720.0,-7516258828288.0,-3282792087552.0,-3268428169216.0,1110932717568.0,1159474577408.0,330.1808166503906,330.1808166503906,62.042579650878906,62.042579650878906,0.4411950409412384,0.4411950409412384,73.72023010253906,73.72023010253906,269.19488525390625,269.1348876953125,-181.8807678222656,-181.83462524414065,-94.63378143310548,-94.60319519042967,319.853515625,319.7593078613281,-0.9082216988100382,-0.9080074314189928,-0.39640589840022605,-0.3948449799969536,0.1341480880375041,0.1400712185250361,8281390617042.665,8277750344556.026,0.7421124825249704,0.741786270204232
5,5,5,0.0060100103728473,0.0060100103728473,13900,13900,1011474661,1011474661,7626010656768.0,7626010656768.0,1.425914023987118e+18,1.4249156674290975e+18,239.7811737060547,239.7811737060547,169.47337341308594,169.47337341308594,51.85780715942383,51.85780715942383,-6405861933056.0,-6380405653504.0,1750632759296.0,1745886511104.0,2097428430848.0,2064546136064.0,339.709228515625,339.709228515625,239.77737426757807,239.77737426757807,169.47494506835938,169.47494506835938,51.85470962524414,51.85470962524414,-103.26607513427734,-103.2242431640625,316.9930114746094,316.8602905273437,-91.3196029663086,-91.28096771240234,291.24615478515625,291.1534423828125,-0.9198377625090459,-0.9207399811533449,0.2513788366209223,0.25194440614398284,0.3011763124175998,0.29792935961145883,6964121494189.04,6929649829598.715,0.9132063679990349,0.9086860930949169
6,6,6,0.0059193223714828,0.0059193223714828,12339,12339,18491477,18491477,6769593024512.0,6769593024512.0,1.0538829947349238e+18,1.0533262982538854e+18,1.6501808166503906,1.6501808166503906,162.23081970214844,162.23081970214844,19.64234161376953,19.64234161376953,-3605929394176.0,-3609178406912.0,473217630208.0,495207251968.0,-1005406191616.0,-1007587819520.0,310.29119873046875,310.29119873046875,1.654449701309204,1.654449701309204,162.23252868652344,162.23252868652344,19.664798736572266,19.664798736572266,-230.74240112304688,-230.6736297607422,160.02102661132812,160.00137329101562,73.81671905517578,73.79666900634766,275.1121826171875,275.0373840332031,-0.9556531582974491,-0.9548681733252783,0.12541341591455377,0.13101531450995527,-0.2664554674701832,-0.26657411527435226,3773261630401.735,3779766158027.0557,0.5573838215590129,0.5583446662658909
7,7,7,0.0057779750786721,0.0057779750786721,10352,10352,534487007,534487007,5679457763328.0,5679457763328.0,9.26423140077142e+17,9.257633643809996e+17,130.1267547607422,130.1267547607422,189.46762084960935,189.46762084960935,242.94509887695312,242.94509887695312,4634776174592.0,4662423453696.0,859539898368.0,874658856960.0,-2974027350016.0,-2967383310336.0,313.7341003417969,313.7341003417969,130.12879943847656,130.12879943847656,189.47607421875,189.47607421875,242.9400329589844,242.9400329589844,89.88282012939453,89.8271713256836,18.159372329711918,18.15099334716797,-304.8791809082031,-304.7583923339844,273.7861022949219,273.6957397460937,0.8315617429902075,0.8332589741647832,0.1542168314351103,0.15631727772750517,-0.5335936998290017,-0.5303247973249177,5573580330819.259,5595407428248.076,0.9813578272925301,0.9852009930203842
8,8,8,0.0057485345751047,0.0057485345751047,13995,13995,911259861,911259861,7678130651136.0,7678130651136.0,2.0681089415181765e+18,2.066634908742189e+18,223.04901123046875,223.04901123046875,5.450959205627441,5.450959205627441,55.42588806152344,55.42588806152344,1344769359872.0,1331867287552.0,-379263516672.0,-345288081408.0,-6389831827456.0,-6399474008064.0,340.0656433105469,340.0656433105469,223.0484619140625,223.0484619140625,5.446425437927246,5.446425437927246,55.437644958496094,55.437644958496094,182.2326202392578,182.1746368408203,-444.7025146484375,-444.5693359375,222.8764495849609,222.76300048828125,293.2906494140625,293.1804504394531,0.2055967606025723,0.20347168250638828,-0.05798418135428431,-0.052750260878184914,-0.9769175025263914,-0.9776587770767994,6540810059121.015,6545713246904.439,0.8518753269916401,0.852513918337139
9,9,9,0.0056469496339559,0.0056469496339559,11518,11518,878548016,878548016,6319164620800.0,6319164620800.0,1.2569541337310822e+18,1.2562644650625595e+18,203.21096801757807,203.21096801757807,214.80657958984372,214.80657958984372,12.306241989135742,12.306241989135742,1033730916352.0,1025307574272.0,-712526528512.0,-711605485568.0,-3666091180032.0,-3686266568704.0,294.20928955078125,294.20928955078125,203.24041748046875,203.24041748046875,214.78028869628903,214.78028869628903,12.31924057006836,12.31924057006836,-436.198486328125,-436.0846557617188,13.88282299041748,13.90521240234375,-13.572295188903809,-13.56485080718994,262.7906799316406,262.7149353027344,0.2667613347306541,0.26345250566388234,-0.18387234508534087,-0.18284683827695877,-0.946059908782492,-0.9471852041662928,3875115250100.793,3891811815144.042,0.6132322043558674,0.6158744151614367
