,Unnamed: 0_orig,Unnamed: 0_comp,mag_diff_orig,mag_diff_comp,fof_halo_count_orig,fof_halo_count_comp,fof_halo_tag_orig,fof_halo_tag_comp,fof_halo_mass_orig,fof_halo_mass_comp,fof_halo_ke_orig,fof_halo_ke_comp,fof_halo_center_x_orig,fof_halo_center_x_comp,fof_halo_center_y_orig,fof_halo_center_y_comp,fof_halo_center_z_orig,fof_halo_center_z_comp,fof_halo_angmom_x_orig,fof_halo_angmom_x_comp,fof_halo_angmom_y_orig,fof_halo_angmom_y_comp,fof_halo_angmom_z_orig,fof_halo_angmom_z_comp,fof_halo_max_cir_vel_orig,fof_halo_max_cir_vel_comp,fof_halo_com_x_orig,fof_halo_com_x_comp,fof_halo_com_y_orig,fof_halo_com_y_comp,fof_halo_com_z_orig,fof_halo_com_z_comp,fof_halo_mean_vx_orig,fof_halo_mean_vx_comp,fof_halo_mean_vy_orig,fof_halo_mean_vy_comp,fof_halo_mean_vz_orig,fof_halo_mean_vz_comp,fof_halo_vel_disp_orig,fof_halo_vel_disp_comp,fof_halo_1D_vel_disp_orig,fof_halo_1D_vel_disp_comp,fof_halo_angmom_dx_orig,fof_halo_angmom_dx_comp,fof_halo_angmom_dy_orig,fof_halo_angmom_dy_comp,fof_halo_angmom_dz_orig,fof_halo_angmom_dz_comp,fof_halo_angmom_mag_orig,fof_halo_angmom_mag_comp,fof_halo_specific_angmom_mag_orig,fof_halo_specific_angmom_mag_comp
10,10,10,0.2325867265462875,0.2325867265462875,1116,1116,147845154,147845154,612275388416.0,612275388416.0,1.5607057314165555e+17,1.5593443985824154e+17,43.6865234375,43.6865234375,4.917261123657227,4.917261123657227,18.139591217041016,18.139591217041016,-529724473344.0,-606651482112.0,-175421571072.0,-286340317184.0,340869808128.0,270801960960.0,137.63372802734375,137.63372802734375,43.65415573120117,43.65415573120117,4.946152687072754,4.946152687072754,18.131502151489254,18.131502151489254,358.6250915527344,358.47149658203125,292.6216125488281,292.5044250488281,496.1973876953125,495.9888000488281,128.2626495361328,128.18597412109375,128.2626495361328,128.18597412109375,-0.8101117213384368,-0.8385769895216948,-0.26827356116647594,-0.39580946926379595,0.5212948257264137,0.37433073168769293,653890641736.1901,723429678720.4001,1.06796819553347,1.1815429664614876
11,11,11,0.2232489436864853,0.2232489436864853,11572,11572,161068636,161068636,6348791087104.0,6348791087104.0,1.4982357756936192e+18,1.4972312343826924e+18,29.268115997314453,29.268115997314453,147.71914672851562,147.71914672851562,158.28826904296875,158.28826904296875,3638809067520.0,549373706240.0,11810913648640.0,12175677587456.0,12088386781184.0,9804108005376.0,231.39817810058597,231.39817810058597,29.34071922302246,29.34071922302246,147.86607360839844,147.86607360839844,158.2136688232422,158.2136688232422,-245.42930603027344,-245.32456970214844,-208.10630798339844,-208.03810119628903,463.9425659179688,463.8084411621094,225.9709930419922,225.88819885253903,225.9709930419922,225.88819885253903,0.21048433132124333,0.03512189814517558,0.6831939284248453,0.7784007556566795,0.6992441651037757,0.6267844253519627,17287790709544.135,15641913884300.22,2.723005131584816,2.4637625761655477
12,12,12,0.2198215872049331,0.2198215872049331,3233,3233,981772735,981772735,1773733281792.0,1773733281792.0,2.975191191026401e+17,2.97236853851947e+17,232.3354034423828,232.3354034423828,73.67414855957031,73.67414855957031,119.59266662597656,119.59266662597656,-261118427136.0,-252561031168.0,-90720518144.0,16200689664.0,-404909522944.0,-415369920512.0,204.5405120849609,204.5405120849609,232.3225250244141,232.3225250244141,73.67601776123047,73.67601776123047,119.58851623535156,119.58851623535156,4.210127353668213,4.210643768310547,-237.8943328857422,-237.81146240234372,433.7122497558594,433.4801635742188,173.92955017089844,173.8551788330078,173.92955017089844,173.8551788330078,-0.5326011706398539,-0.5192491101128762,-0.18504191639980586,0.03330756788703163,-0.8258907205000819,-0.8539736340007441,490270096143.98474,486396656728.2077,0.27640576019899993,0.2742219823697517
13,13,13,0.2196868956089019,0.2196868956089019,1017,1017,124053426,124053426,557960658944.0,557960658944.0,2.653070018215936e+17,2.651378144698696e+17,41.94171142578125,41.94171142578125,87.49214935302734,87.49214935302734,234.2374267578125,234.2374267578125,203163795456.0,3219270144.0,-937690660864.0,-1073892294656.0,-847736078336.0,-991202836480.0,102.03751373291016,102.03751373291016,41.91115188598633,41.91115188598633,87.4677734375,87.4677734375,234.30096435546875,234.30096435546875,678.6417846679688,678.3154907226562,581.7297973632812,581.6286010742188,-127.94253540039062,-127.8647918701172,212.6457977294922,212.62538146972656,212.6457977294922,212.62538146972656,0.15868318410800838,0.0022028423921360667,-0.7323929907898745,-0.734829748806726,-0.6621330335538369,-0.6782480281976788,1280310806705.9941,1461416466058.7983,2.2946255908599698,2.61921058883378
14,14,14,0.2131753116846084,0.2131753116846084,1127,1127,833528917,833528917,618310336512.0,618310336512.0,1.700563266872279e+17,1.699610814924718e+17,197.06430053710935,197.06430053710935,225.2115936279297,225.2115936279297,31.637531280517575,31.637531280517575,61628280832.0,-13175945216.0,138766778368.0,141081657344.0,316642885632.0,314924793856.0,134.7904815673828,134.7904815673828,197.0593414306641,197.0593414306641,225.1792755126953,225.1792755126953,31.648805618286133,31.648805618286133,-25.24140167236328,-25.20211410522461,-326.6016540527344,-326.4712219238281,632.01318359375,631.8311767578125,120.16854095458984,120.18119049072266,120.16854095458984,120.18119049072266,0.17549656131392113,-0.03815425683902968,0.3951609893935232,0.40853735358905074,0.9016921589037586,0.9119437939958341,351165175947.58923,345333556661.53986,0.5679432401673491,0.5585116991729892
15,15,15,0.2099930495023727,0.2099930495023727,3583,3583,173139122,173139122,1965755072512.0,1965755072512.0,3.1176088705879245e+17,3.1153871699050496e+17,43.74102783203125,43.74102783203125,28.363300323486328,28.363300323486328,50.41044235229492,50.41044235229492,122456743936.0,14411197440.0,-19034230784.0,13044335616.0,-904823767040.0,-1059991126016.0,185.40042114257807,185.40042114257807,43.7413215637207,43.7413215637207,28.38667106628418,28.38667106628418,50.416603088378906,50.416603088378906,293.75347900390625,293.68572998046875,-308.2416381835937,-308.1361999511719,222.3177947998047,222.2015838623047,169.7672882080078,169.69894409179688,169.7672882080078,169.69894409179688,0.13408587113802484,0.013593297719466414,-0.02084182000991898,0.012304011399411325,-0.9907505224322777,-0.9998319026519373,913271047103.4335,1060169337670.1597,0.4645904568041543,0.5393191412780586
16,16,16,0.207476407289505,0.207476407289505,1405,1405,781421298,781421298,770830565376.0,770830565376.0,1.087085170697175e+17,1.08715938773205e+17,182.1529083251953,182.1529083251953,54.22804260253906,54.22804260253906,179.7233428955078,179.7233428955078,42016583680.0,13050081280.0,23099869184.0,31069501440.0,-152556158976.0,-138476847104.0,158.02308654785156,158.02308654785156,182.1513214111328,182.1513214111328,54.23729705810547,54.23729705810547,179.71456909179688,179.71456909179688,-176.635009765625,-176.5967559814453,-32.45289611816406,-32.421119689941406,-441.864013671875,-441.9105529785156,134.8562469482422,134.84844970703125,134.8562469482422,134.84844970703125,0.2627454307329268,0.09156778131504184,0.1444521316832664,0.21800364705661798,-0.9539907862663711,-0.971642810550798,159913660773.45282,142518264531.28513,0.2074563048696042,0.18488922330391347
17,17,17,0.2006174921989441,0.2006174921989441,1250,1250,109834379,109834379,685792296960.0,685792296960.0,3.45768953504596e+17,3.457703966136074e+17,23.666879653930664,23.666879653930664,198.16232299804688,198.16232299804688,48.75741958618164,48.75741958618164,-50680287232.0,-89015926784.0,196887068672.0,217304268800.0,-80094470144.0,-74156990464.0,150.2164306640625,150.2164306640625,23.65886116027832,23.65886116027832,198.1558074951172,198.1558074951172,48.74837875366211,48.74837875366211,-128.2246551513672,-128.19419860839844,465.9482116699219,465.9005432128906,853.8600463867188,853.8746337890625,123.49331665039062,123.53583526611328,123.49331665039062,123.53583526611328,-0.2319321041260427,-0.3614705667456331,0.901029465426405,0.8824162151339872,-0.36654249618437573,-0.3011322842957886,218513462907.48077,246260511845.8802,0.31862921744107303,0.35908906083884423
18,18,18,0.1985029578208923,0.1985029578208923,1142,1142,292222578,292222578,626539888640.0,626539888640.0,2.807087545450496e+17,2.8062711580668723e+17,58.72886657714844,58.72886657714844,182.90272521972656,182.90272521972656,162.0225067138672,162.0225067138672,-79111708672.0,-63375474688.0,-91653578752.0,-68762165248.0,-142430093312.0,-167033372672.0,141.58322143554688,141.58322143554688,58.74136734008789,58.74136734008789,182.89923095703125,182.89923095703125,162.02891540527344,162.02891540527344,-713.0466918945312,-712.8951416015625,576.5025634765625,576.4661865234375,48.61378479003906,48.60712432861328,132.7983856201172,132.79598999023438,132.7983856201172,132.79598999023438,-0.4232002620555311,-0.33106620260681474,-0.49029175576259326,-0.35920565555918604,-0.761915699029337,-0.8725631590353784,186936813998.52063,191428403711.95132,0.29836378718726975,0.3055326678840445
19,19,19,0.1844528317451477,0.1844528317451477,3988,3988,174932113,174932113,2187951865856.0,2187951865856.0,9.899424765695754e+17,9.89361865710633e+17,34.033836364746094,34.033836364746094,211.6054534912109,211.6054534912109,57.22862243652344,57.22862243652344,-944963452928.0,-2302142316544.0,8422925795328.0,9530748436480.0,-4498245812224.0,-4749988986880.0,199.5482940673828,199.5482940673828,34.10285949707031,34.10285949707031,211.6962890625,211.6962890625,57.25357437133789,57.25357437133789,-466.9505310058594,-466.75,51.58992004394531,51.5380859375,713.4700927734375,713.27392578125,241.6329498291016,241.5927734375,241.6329498291016,241.5927734375,-0.09848026722570913,-0.2113058533422985,0.8778032426291326,0.8747951492349421,-0.4687889761896425,-0.43598541629084164,9595459877888.197,10894834573345.748,4.385590024913154,4.979467210117679
