,mag_diff,fof_halo_count,fof_halo_tag,fof_halo_mass,fof_halo_ke,fof_halo_center_x,fof_halo_center_y,fof_halo_center_z,fof_halo_angmom_x,fof_halo_angmom_y,fof_halo_angmom_z,fof_halo_max_cir_vel,fof_halo_com_x,fof_halo_com_y,fof_halo_com_z,fof_halo_mean_vx,fof_halo_mean_vy,fof_halo_mean_vz,fof_halo_vel_disp,fof_halo_1D_vel_disp
0,0.5696293711662292,1616,543655151,886592307200.0,3.828187157894267e+17,128.02841186523438,115.03228759765625,56.06742858886719,-398746583040.0,-243182813184.0,-630688186368.0,116.12220764160156,127.92933654785156,114.95643615722656,56.105873107910156,-24.349733352661133,-735.4044799804688,-502.34765625,152.54226684570312,152.54226684570312
1,0.5583286285400391,1507,779979578,826791231488.0,2.1938057292808192e+17,197.10609436035156,215.72723388671875,201.64492797851562,-129533100032.0,63039676416.0,89445490688.0,149.2913055419922,197.07196044921875,215.7048797607422,201.65225219726562,635.5678100585938,73.84457397460938,-208.76612854003906,160.93136596679688,160.93136596679688
2,0.49426859617233276,13913,944404240,7633143070720.0,1.4920758992379576e+18,231.5642547607422,171.48348999023438,187.0181884765625,4275730644992.0,1081207095296.0,1224891432960.0,291.46435546875,231.59295654296875,171.4563446044922,187.0282745361328,215.76119995117188,147.73341369628906,-341.0271301269531,262.21435546875,262.21435546875
3,0.44807755947113037,1896,39660745,1040209805312.0,3.353999060196393e+17,15.444534301757812,216.03677368164062,62.402015686035156,-1017247760384.0,-3202073493504.0,2109884596224.0,113.8000717163086,15.329705238342285,216.1879425048828,62.393165588378906,457.085693359375,346.96875,516.2103881835938,127.90872955322266,127.90872955322266
4,0.3113084137439728,2381,665303610,1306297237504.0,4.143951779106652e+17,150.66883850097656,122.7524185180664,151.70086669921875,-221868572672.0,323400335360.0,301114785792.0,187.31005859375,150.65655517578125,122.73975372314453,151.70574951171875,-577.2454833984375,-64.98615264892578,467.02349853515625,162.1842803955078,162.1842803955078
5,0.27678993344306946,2799,87679686,1535626182656.0,4.73991285116502e+17,16.522262573242188,167.665771484375,174.40240478515625,-111821307904.0,1617815535616.0,1582824292352.0,171.028076171875,16.495466232299805,167.69532775878906,174.34326171875,-431.65167236328125,588.4783935546875,-6.326903343200684,167.9844970703125,167.9844970703125
6,0.272065669298172,1626,308753128,892078653440.0,8.043962644299776e+16,69.83865356445312,108.58715057373047,182.7255096435547,164657627136.0,-302160052224.0,73334521856.0,122.68412780761719,69.8263931274414,108.54222106933594,182.8290557861328,-162.23379516601562,-286.6126708984375,-128.28883361816406,135.91339111328125,135.91339111328125
7,0.2715418338775635,2591,703679206,1421510311936.0,3.252007674409124e+17,164.47718811035156,20.093050003051758,175.33926391601562,679887044608.0,-200306032640.0,-1350371377152.0,167.2230682373047,164.50372314453125,20.143827438354492,175.3505096435547,-179.09085083007812,-28.36271095275879,-593.1463012695312,155.82266235351562,155.82266235351562
8,0.25615668296813965,1092,734871847,599108157440.0,7.132828711623066e+16,170.09371948242188,217.7862091064453,65.40626525878906,3583259904.0,-37947645952.0,4715629056.0,140.97122192382812,170.09747314453125,217.77944946289062,65.41122436523438,-187.94456481933594,186.15798950195312,-353.6112060546875,119.85552978515625,119.85552978515625
9,0.2417452484369278,5220,820723406,2863868674048.0,1.5308409683815956e+18,197.70079040527344,190.41860961914062,166.978515625,-277379383296.0,-1008875339776.0,129534640128.0,233.0686492919922,197.69375610351562,190.40750122070312,166.96469116210938,193.699462890625,649.8566284179688,-693.7570190429688,206.5107879638672,206.5107879638672
10,0.23258672654628754,1116,147845154,612275388416.0,1.5593443985824154e+17,43.6865234375,4.917261123657227,18.139591217041016,-606651482112.0,-286340317184.0,270801960960.0,137.63372802734375,43.65415573120117,4.946152687072754,18.131502151489258,358.47149658203125,292.5044250488281,495.9888000488281,128.18597412109375,128.18597412109375
11,0.2232489436864853,11572,161068636,6348791087104.0,1.4972312343826924e+18,29.268115997314453,147.71914672851562,158.28826904296875,549373706240.0,12175677587456.0,9804108005376.0,231.39817810058594,29.34071922302246,147.86607360839844,158.2136688232422,-245.32456970214844,-208.03810119628906,463.8084411621094,225.88819885253906,225.88819885253906
12,0.21982158720493317,3233,981772735,1773733281792.0,2.97236853851947e+17,232.3354034423828,73.67414855957031,119.59266662597656,-252561031168.0,16200689664.0,-415369920512.0,204.54051208496094,232.32252502441406,73.67601776123047,119.58851623535156,4.210643768310547,-237.81146240234375,433.48016357421875,173.8551788330078,173.8551788330078
13,0.21968689560890198,1017,124053426,557960658944.0,2.6513781446986957e+17,41.94171142578125,87.49214935302734,234.2374267578125,3219270144.0,-1073892294656.0,-991202836480.0,102.03751373291016,41.91115188598633,87.4677734375,234.30096435546875,678.3154907226562,581.6286010742188,-127.86479187011719,212.62538146972656,212.62538146972656
14,0.21317531168460846,1127,833528917,618310336512.0,1.699610814924718e+17,197.06430053710938,225.2115936279297,31.637531280517578,-13175945216.0,141081657344.0,314924793856.0,134.7904815673828,197.05934143066406,225.1792755126953,31.648805618286133,-25.20211410522461,-326.4712219238281,631.8311767578125,120.18119049072266,120.18119049072266
15,0.20999304950237274,3583,173139122,1965755072512.0,3.1153871699050496e+17,43.74102783203125,28.363300323486328,50.41044235229492,14411197440.0,13044335616.0,-1059991126016.0,185.40042114257812,43.7413215637207,28.38667106628418,50.416603088378906,293.68572998046875,-308.1361999511719,222.2015838623047,169.69894409179688,169.69894409179688
